String,Position,Note,Frequency (Hz),Piano Scale Value (0-1),Hex Color
G,0,G3,195.99771799087463,0.3908045977011494,#00ff51
G,1,G#3,207.65234878997256,0.4022988505747126,#00ff5c
G,2,A3,220.0,0.4137931034482758,#00ff6e
G,3,A#3,233.08188075904496,0.425287356321839,#00ff80
G,4,B3,246.94165062806206,0.4367816091954023,#00ff92
G,5,C4,261.6255653005986,0.4482758620689655,#00ffa3
G,6,C#4,277.1826309768721,0.4597701149425287,#00ffb5
G,7,D4,293.6647679174076,0.4712643678160919,#00ffc7
G,8,D#4,311.1269837220809,0.4827586206896552,#00ffd8
G,9,E4,329.6275569128699,0.4942528735632184,#00ffea
G,10,F4,349.2282314330039,0.5057471264367817,#00fffc
G,11,F#4,369.9944227116344,0.5172413793103449,#00f0ff
G,12,G4,391.99543598174927,0.5287356321839081,#00dfff
D,0,D4,293.6647679174076,0.4712643678160919,#00ffc7
D,1,D#4,311.1269837220809,0.4827586206896552,#00ffd8
D,2,E4,329.6275569128699,0.4942528735632184,#00ffea
D,3,F4,349.2282314330039,0.5057471264367817,#00fffc
D,4,F#4,369.9944227116344,0.5172413793103449,#00f0ff
D,5,G4,391.99543598174927,0.5287356321839081,#00dfff
D,6,G#4,415.3046975799451,0.5402298850574713,#00cdff
D,7,A4,440.0,0.5517241379310345,#00bbff
D,8,A#4,466.1637615180899,0.5632183908045977,#00aaff
D,9,B4,493.8833012561241,0.5747126436781609,#0098ff
D,10,C5,523.2511306011972,0.5862068965517241,#0086ff
D,11,C#5,554.3652619537442,0.5977011494252874,#0074ff
D,12,D5,587.3295358348151,0.6091954022988506,#0069ff
A,0,A4,440.0,0.5517241379310345,#00bbff
A,1,A#4,466.1637615180899,0.5632183908045977,#00aaff
A,2,B4,493.8833012561241,0.5747126436781609,#0098ff
A,3,C5,523.2511306011972,0.5862068965517241,#0086ff
A,4,C#5,554.3652619537442,0.5977011494252874,#0074ff
A,5,D5,587.3295358348151,0.6091954022988506,#0069ff
A,6,D#5,622.2539674441618,0.6206896551724138,#0057ff
A,7,E5,659.2551138257398,0.632183908045977,#0045ff
A,8,F5,698.4564628660078,0.6436781609195402,#0033ff
A,9,F#5,739.9888454232688,0.6551724137931034,#0022ff
A,10,G5,783.9908719634985,0.6666666666666666,#0010ff
A,11,G#5,830.6093951598903,0.6781609195402298,#0604ff
A,12,A5,880.0,0.6896551724137931,#1300ff
E,0,E5,659.2551138257398,0.632183908045977,#0045ff
E,1,F5,698.4564628660078,0.6436781609195402,#0033ff
E,2,F#5,739.9888454232688,0.6551724137931034,#0022ff
E,3,G5,783.9908719634985,0.6666666666666666,#0010ff
E,4,G#5,830.6093951598903,0.6781609195402298,#0604ff
E,5,A5,880.0,0.6896551724137931,#1300ff
E,6,A#5,932.3275230361799,0.7011494252873564,#2500ff
E,7,B5,987.7666025122483,0.7126436781609196,#3700ff
E,8,C6,1046.5022612023945,0.7241379310344828,#4900ff
E,9,C#6,1108.7305239074883,0.735632183908046,#5a00ff
E,10,D6,1174.6590716696303,0.7471264367816092,#6c00ff
E,11,D#6,1244.5079348883237,0.7586206896551724,#7e00ff
E,12,E6,1318.5102276514797,0.7701149425287356,#9000ff
